GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
se15,at.aau.ue5.bsp1.service,InvoiceServiceImpl,150,0,12,0,42,0,20,0,14,0
se15,at.aau.ue5.bsp4,Customer,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Item,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Order,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,SmellyClass,124,0,12,0,25,0,8,0,2,0
se15,at.aau.ue5.bsp1.service.exception,InvoiceServiceException,7,0,0,0,4,0,2,0,2,0
se15,at.aau.ue5.bsp3,Person,20,0,4,0,6,0,5,0,2,0
se15,at.aau.ue5.bsp5,MyMath,3,100,1,5,1,15,1,10,0,8
se15,at.aau.ue5.bsp5,Fraction,89,15,20,0,14,6,16,3,6,3
se15,at.aau.ue5.bsp1.dao.impl,ListProductDao,118,0,16,0,31,0,14,0,6,0
se15,at.aau.ue5.bsp1.dao.impl,AbstractListDao,0,8,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.dao.impl,ListInvoiceDao,118,0,16,0,31,0,14,0,6,0
se15,at.aau.ue5.bsp1.dao.impl,ListCustomerDao,2,143,7,13,2,35,7,10,0,7
se15,at.aau.ue5.bsp1.entity,Customer,131,27,29,1,35,11,21,5,6,5
se15,at.aau.ue5.bsp1.entity,Product,158,0,30,0,46,0,26,0,11,0
se15,at.aau.ue5.bsp1.entity,Invoice,199,0,38,0,57,0,32,0,13,0
se15,at.aau.ue5.bsp2,CashMachine,187,0,28,0,50,0,21,0,7,0
se15,at.aau.ue5.bsp2,CashMachineState,57,0,0,0,2,0,1,0,1,0
