GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
se15,at.aau.ue5.bsp1.service,InvoiceServiceImpl,0,150,0,12,0,42,0,20,0,14
se15,at.aau.ue5.bsp4,Customer,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Item,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,Order,24,0,0,0,10,0,7,0,7,0
se15,at.aau.ue5.bsp4,SmellyClass,124,0,12,0,25,0,8,0,2,0
se15,at.aau.ue5.bsp1.service.exception,InvoiceServiceException,3,4,0,0,2,2,1,1,1,1
se15,at.aau.ue5.bsp3,Person,20,0,4,0,6,0,5,0,2,0
se15,at.aau.ue5.bsp5,MyMath,3,100,1,5,1,15,1,10,0,8
se15,at.aau.ue5.bsp5,Fraction,89,15,20,0,14,6,16,3,6,3
se15,at.aau.ue5.bsp1.dao.impl,ListProductDao,2,116,2,14,2,29,2,12,0,6
se15,at.aau.ue5.bsp1.dao.impl,AbstractListDao,0,8,0,0,0,2,0,1,0,1
se15,at.aau.ue5.bsp1.dao.impl,ListInvoiceDao,2,116,2,14,2,29,2,12,0,6
se15,at.aau.ue5.bsp1.dao.impl,ListCustomerDao,2,143,3,17,2,35,3,14,0,7
se15,at.aau.ue5.bsp1.entity,Customer,128,30,29,1,33,13,20,6,5,6
se15,at.aau.ue5.bsp1.entity,Product,131,27,29,1,34,12,21,5,6,5
se15,at.aau.ue5.bsp1.entity,Invoice,106,93,26,12,25,32,22,10,4,9
se15,at.aau.ue5.bsp2,CashMachine,187,0,28,0,50,0,21,0,7,0
se15,at.aau.ue5.bsp2,CashMachineState,57,0,0,0,2,0,1,0,1,0
